# role	lemma
given	абляс
given	або
given	абов
given	аболфазл
given	абонид
given	абраам
given	абрагам
given	абрай
given	абрам
given	абрар
given	абрат
given	абрахам
given	абрахим
given	абрахман
given	абраш
given	абраша
given	абрашит
given	абрик
given	абрина
given	аброр
given	аброрбек
given	абросим
given	абсаид
given	абсалудин
given	абсалям
given	абсаттар
given	абселим
given	абу
given	абу-супьян
given	абу-хасан
given	абубакар
given	абубакер
given	абубакир
given	абубакр
given	абубекер
given	абубекир
given	абуд
given	абудар
given	абудин
given	абуезит
given	абузагир
given	абузар
given	абузарь
given	абузед
given	абузер
given	абузяр
given	абукар
given	абул
given	абула
given	абулгани
given	абулла
given	абулфаз
given	абулфас
given	абулфат
given	абулхасим
given	абульдер
given	абульфаз
given	абульфарз
given	абульфат
given	абумеслим
given	абумислим
given	абумуслим
given	абумуслин
given	абурашид
given	абусалам
given	абусат
given	абусупьян
given	абутали
given	абуталиб
given	абуталип
given	абуш
given	абуязит
given	абхай
given	абхиджит
given	абхинав
given	абхишек
given	абылкасым
given	абыль
given	абыт
given	абыш
given	абяс
given	ава
given	аваг
given	авагим
given	авад
given	авадий
given	аваз
given	авазбек
given	авазхан
given	авак
given	авакум
given	авамиль
given	аван
given	аванес
given	аванир
given	аванта
given	авасхон
given	ават
given	авах
given	аваханум
given	авва
given	аввакум
given	авгаил
given	авган
given	авгения
given	авгий
given	авгон
given	август
given	августа
given	августин
given	августина
given	авдал
given	авдат
given	авдей
given	авди
given	авдий
given	авдил
given	авдиш
given	авдия
given	авдо
given	авдокия
given	авдотия
given	авдотья
given	авдыш
given	авегик
given	аведик
given	аведис
given	авез
given	авел
given	авели
given	авелий
given	авелина
given	авелия
given	авель
given	авенариус
given	авенер
given	авенир
given	авентина
given	авер
given	авера
given	аверий
given	аверкий
given	аверьян
given	аверян
given	авесалом
given	авет
given	авета
given	аветик
given	аветин
given	аветис
given	авзал
given	авзаль
given	авиа
given	авиата
given	авиатта
given	авив
given	авигдор
given	авигея
given	авиета
given	авизар
given	авий
given	авик
given	авил
given	авила
given	авиль
given	авим
given	авинер
given	авинир
given	авиона
given	авис
given	авиталь
given	авиэзер
given	авиэта
given	авия
given	авксентий
given	авлевтина
given	авлександр
given	авлентин
given	авлентина
given	авлерий
given	авлина
given	авмандил
given	авни
given	аво
given	авраам
given	авралия
given	аврам
given	аврамий
given	аврел
given	аврелий
given	аврелия
given	аврик
given	аврор
given	аврора
given	авросим
given	аврум
given	авсей
given	авсентий
given	авсий
given	австафий
given	автаидил
given	автандий
given	автандил
given	автандин
given	автандия
given	автар
given	автелина
given	автендил
given	автолина
given	автондил
given	автондия
given	автоном
given	авхадий
given	авхат
given	ага-али
given	ага-мамед
given	агабаба
given	агабала
given	агабба
given	агабек
given	агавард
given	агаверди
given	агавни
given	агавник
given	агагулу
given	агагусейн
given	агагюль
given	агададаш
given	агадар
given	агадаш
given	агаддин
given	агаджан
given	агаджафар
given	агаджума
given	агадия
given	агажан
given	агаирза
given	агаисмаил
given	агай
given	агакерим
given	агакиши
given	агакши
given	агалар
given	агали
given	агалина
given	агалы
given	агалям
given	агам
given	агамалы
given	агамамед
given	агамед
given	агамерза
given	агамир
given	агамирза
given	агаммед
given	агамоглан
given	агамурад
given	агамурат
given	агамырат
given	аганез
given	аганес
given	аганета
given	аганик
given	агания
given	агап
given	агапея
given	агапи
given	агапий
given	агапия
given	агапья
given	агарагим
given	агарвал
given	агарза
given	агариза
given	агарий
given	агария
given	агарон
given	агароп
given	агарья
given	агас
given	агасад
given	агасалим
given	агасаф
given	агаси
given	агасий
given	агасин
given	агасия
given	агастан
given	агасы
given	агата
given	агафангел
given	агафена
given	агафий
given	агафия
given	агафон
given	агафья
given	агафя
given	агахан
given	агаша
given	агаширин
given	агаяр
given	агван
given	агга
given	аггей
given	аггюль
given	агдас
given	агей
given	агек
given	агелина
given	аген
given	агений
given	агер
given	агзам
given	агзамутдин
given	агзан
given	агзям
given	аги
given	агив
given	агигат
given	агида
given	агидель
given	агий
given	агик
given	агил
given	агиль
given	агиля
given	агина
given	агир
given	агираф
given	агис
given	агит
given	агита
given	агиф
given	агишин
given	агия
given	агиян
given	аглаида
given	аглар
given	аглафира
given	аглая
given	аглея
given	аглина
given	аглиулла
given	аглия
given	агля
given	аглям
given	агляметдин
given	аглямутдин
given	агмад
given	агндрей
given	агне
given	агнежка
given	агнезия
given	агнес
given	агнеса
given	агнесия
given	агнесса
given	агнессия
given	агнета
